sep=,
2022-12-06 08:50:00,200846,189306
2022-12-06 08:55:00,210559,196510
2022-12-06 09:00:00,215600,200103
2022-12-06 09:05:00,225596,204571
2022-12-06 09:10:00,197524,181556
2022-12-06 09:15:00,259125,239351
2022-12-06 09:20:00,251099,232543
2022-12-06 09:25:00,220230,203831
2022-12-06 09:30:00,229644,216956
2022-12-06 09:35:00,221707,208443
2022-12-06 09:40:00,220217,203357
2022-12-06 09:45:00,198810,184527
2022-12-06 09:50:00,194276,181364
2022-12-06 09:55:00,185996,173782
2022-12-06 10:00:00,209974,196409
2022-12-06 10:05:00,228714,219037
2022-12-06 10:10:00,212476,193191
2022-12-06 10:15:00,231208,207634
2022-12-06 10:20:00,212400,198557
2022-12-06 10:25:00,218957,203089
2022-12-06 10:30:00,208950,194014
2022-12-06 10:35:00,199030,186571
2022-12-06 10:40:00,186433,175889
2022-12-06 10:45:00,187728,176924
2022-12-06 10:50:00,193873,182273
2022-12-06 10:55:00,169318,160767
2022-12-06 11:00:00,158846,151769
2022-12-06 11:05:00,157768,151022
2022-12-06 11:10:00,165276,158339
2022-12-06 11:15:00,169026,162844
2022-12-06 11:20:00,162273,156115
2022-12-06 11:25:00,158932,152632
2022-12-06 11:30:00,155233,149151
2022-12-06 11:35:00,156090,149744
2022-12-06 11:40:00,169784,162136
2022-12-06 11:45:00,168531,160234
2022-12-06 11:50:00,171249,162389
2022-12-06 11:55:00,168760,154936
2022-12-06 12:00:00,211647,189987
2022-12-06 12:05:00,228888,215449
2022-12-06 12:10:00,223063,206275
2022-12-06 12:15:00,181557,170502
2022-12-06 12:20:00,252443,233335
2022-12-06 12:25:00,253970,234746
2022-12-06 12:30:00,248054,229008
2022-12-06 12:35:00,259007,239947
2022-12-06 12:40:00,256229,236505
2022-12-06 12:45:00,252655,232852
2022-12-06 12:50:00,216644,198957
2022-12-06 12:55:00,208224,192470
2022-12-06 13:00:00,190039,179325
2022-12-06 13:05:00,227109,206091
2022-12-06 13:10:00,234845,209944
2022-12-06 13:15:00,237170,210324
2022-12-06 13:20:00,240829,217853
2022-12-06 13:25:00,222909,203019
2022-12-06 13:30:00,223428,205048
2022-12-06 13:35:00,138722,133406
2022-12-06 13:40:00,92783,92427
2022-12-06 13:45:00,92034,91673
2022-12-06 13:50:00,86693,86327
2022-12-06 13:55:00,84841,84471
2022-12-06 14:00:00,84288,83913
2022-12-06 14:05:00,88919,88538
2022-12-06 14:10:00,87899,87513
2022-12-06 14:15:00,86715,86325
2022-12-06 14:20:00,87762,87369
2022-12-06 14:25:00,86891,86495
2022-12-06 14:30:00,86282,85880
2022-12-06 14:35:00,84651,84244
2022-12-06 14:40:00,84685,84272
2022-12-06 14:45:00,84368,83950
2022-12-06 14:50:00,84584,84162
2022-12-06 14:55:00,84924,84498
2022-12-06 15:00:00,84265,83836
2022-12-06 15:05:00,86879,86445
2022-12-06 15:10:00,84530,84092
2022-12-06 15:15:00,84388,83944
2022-12-06 15:20:00,84592,84144
2022-12-06 15:25:00,85148,84694
2022-12-06 15:30:00,84682,84224
2022-12-06 15:35:00,84963,84512
2022-12-06 15:40:00,85095,84627
2022-12-06 15:45:00,84721,84247
2022-12-06 15:50:00,85115,84637
2022-12-06 15:55:00,85846,85363
2022-12-06 16:00:00,85225,84735
2022-12-06 16:05:00,85718,85225
2022-12-06 16:10:00,85681,85185
2022-12-06 16:15:00,85306,84805
2022-12-06 16:20:00,85580,85075
2022-12-06 16:25:00,85806,85295
2022-12-06 16:30:00,85288,84771
2022-12-06 16:35:00,85557,85038
2022-12-06 16:40:00,85708,85184
2022-12-06 16:45:00,85375,84847
2022-12-06 16:50:00,85571,85039
2022-12-06 16:55:00,85918,85382
2022-12-06 17:00:00,85578,85039
2022-12-06 17:05:00,85925,85379
2022-12-06 17:10:00,85840,85288
2022-12-06 17:15:00,85408,84855
2022-12-06 17:20:00,85736,85177
2022-12-06 17:25:00,85924,85362
2022-12-06 17:30:00,85481,84914
2022-12-06 17:35:00,85770,85201
2022-12-06 17:40:00,85845,85270
2022-12-06 17:45:00,85534,84953
2022-12-06 17:50:00,85721,85137
2022-12-06 17:55:00,86071,85483
2022-12-06 18:00:00,85632,85036
2022-12-06 18:05:00,86068,85469
2022-12-06 18:10:00,86034,85426
2022-12-06 18:15:00,85662,85054
2022-12-06 18:20:00,85930,85316
2022-12-06 18:25:00,86122,85501
2022-12-06 18:30:00,85408,84784
2022-12-06 18:35:00,85689,85062
2022-12-06 18:40:00,85800,85165
2022-12-06 18:45:00,85441,84803
2022-12-06 18:50:00,85661,85018
2022-12-06 18:55:00,85948,85302
2022-12-06 19:00:00,85519,84869
2022-12-06 19:05:00,85882,85261
2022-12-06 19:10:00,85659,85035
2022-12-06 19:15:00,85414,84796
2022-12-06 19:20:00,85587,84961
2022-12-06 19:25:00,85834,85202
2022-12-06 19:30:00,85337,84700
2022-12-06 19:35:00,85164,84643
2022-12-06 19:40:00,85606,85072
2022-12-06 19:45:00,85209,84658
2022-12-06 19:50:00,85373,84821
2022-12-06 19:55:00,95980,93069

