sep=,
2022-12-06 11:40:00,162722,155616
2022-12-06 11:50:00,169698,161135
2022-12-06 12:00:00,191185,173003
2022-12-06 12:10:00,225991,210701
2022-12-06 12:20:00,217849,202665
2022-12-06 12:30:00,250454,231371
2022-12-06 12:40:00,257433,238096
2022-12-06 12:50:00,235175,216442
2022-12-06 13:00:00,199250,185999
2022-12-06 13:10:00,230998,207996
2022-12-06 13:20:00,239032,214059
2022-12-06 13:30:00,223512,204231
2022-12-06 13:40:00,115181,112417
2022-12-06 13:50:00,89318,88964
2022-12-06 14:00:00,84455,84092
2022-12-06 14:10:00,88305,87932
2022-12-06 14:20:00,87107,86725
2022-12-06 14:30:00,86448,86059
2022-12-06 14:40:00,84553,84153
2022-12-06 14:50:00,84369,83960
2022-12-06 15:00:00,84486,84070
2022-12-06 15:10:00,85695,85270
2022-12-06 15:20:00,84510,84075
2022-12-06 15:30:00,84800,84356
2022-12-06 15:40:00,84912,84464
2022-12-06 15:50:00,84802,84338
2022-12-06 16:00:00,85415,84941
2022-12-06 16:10:00,85576,85095
2022-12-06 16:20:00,85326,84836
2022-12-06 16:30:00,85428,84927
2022-12-06 16:40:00,85513,85005
2022-12-06 16:50:00,85357,84841
2022-12-06 17:00:00,85630,85105
2022-12-06 17:10:00,85761,85226
2022-12-06 17:20:00,85458,84916
2022-12-06 17:30:00,85583,85033
2022-12-06 17:40:00,85685,85128
2022-12-06 17:50:00,85510,84942
2022-12-06 18:00:00,85727,85150
2022-12-06 18:10:00,85923,85335
2022-12-06 18:20:00,85676,85081
2022-12-06 18:30:00,85643,85036
2022-12-06 18:40:00,85749,85134
2022-12-06 18:50:00,85563,84939
2022-12-06 19:00:00,85740,85108
2022-12-06 19:10:00,85842,85219
2022-12-06 19:20:00,85609,84980
2022-12-06 19:30:00,85697,85058
2022-12-06 19:40:00,85598,85008
2022-12-06 19:50:00,85515,84910
2022-12-06 20:00:00,90152,88614
2022-12-06 20:10:00,69923,69926
2022-12-06 20:20:00,,
2022-12-06 20:30:00,,
2022-12-06 20:40:00,,
2022-12-06 20:50:00,,
2022-12-06 21:00:00,,
2022-12-06 21:10:00,,
2022-12-06 21:20:00,,
2022-12-06 21:30:00,,
2022-12-06 21:40:00,,
2022-12-06 21:50:00,,
2022-12-06 22:00:00,35125,35125
2022-12-06 22:10:00,83122,83123
2022-12-06 22:20:00,85016,84634
2022-12-06 22:30:00,83878,83643
2022-12-06 22:40:00,84758,84804
2022-12-06 22:50:00,83854,83961
2022-12-06 23:00:00,83319,83320
2022-12-06 23:10:00,83600,83600
2022-12-06 23:20:00,83271,83271
2022-12-06 23:30:00,83470,83470
2022-12-06 23:40:00,82421,82421
2022-12-06 23:50:00,85273,85273
2022-12-07 00:00:00,84768,84769
2022-12-07 00:10:00,89911,89911
2022-12-07 00:20:00,80370,80370
2022-12-07 00:30:00,67533,67533
2022-12-07 00:40:00,83666,83666
2022-12-07 00:50:00,83378,83378
2022-12-07 01:00:00,83610,83610
2022-12-07 01:10:00,84014,84014
2022-12-07 01:20:00,83726,83726
2022-12-07 01:30:00,84014,84014
2022-12-07 01:40:00,84107,84107
2022-12-07 01:50:00,83863,83863
2022-12-07 02:00:00,84042,84042
2022-12-07 02:10:00,84266,84266
2022-12-07 02:20:00,88866,88866
2022-12-07 02:30:00,90411,90411
2022-12-07 02:40:00,15081,15081
2022-12-07 02:50:00,,
2022-12-07 03:00:00,,
2022-12-07 03:10:00,,
2022-12-07 03:20:00,,

