sep=,
2022-12-22 15:00:00,,0.00168
2022-12-22 15:06:00,,0.00740
2022-12-22 15:12:00,,0.0140
2022-12-22 15:18:00,,0.00131
2022-12-22 15:24:00,,0.0141
2022-12-22 15:30:00,,0.00866
2022-12-22 15:36:00,,0.00548
2022-12-22 15:42:00,,0.0143
2022-12-22 15:48:00,,0.00334
2022-12-22 15:54:00,,0.0118
2022-12-22 16:00:00,,0
2022-12-22 16:06:00,,0.00877
2022-12-22 16:12:00,,0.00749
2022-12-22 16:18:00,,0.0104
2022-12-22 16:24:00,,0.0141
2022-12-22 16:30:00,,0.00408
2022-12-22 16:36:00,,0.0103
2022-12-22 16:42:00,,0.0107
2022-12-22 16:48:00,,0.0115
2022-12-22 16:54:00,,0.00865
2022-12-22 17:00:00,,0.0125
2022-12-22 17:06:00,,0.00840
2022-12-22 17:12:00,,0.0117
2022-12-22 17:18:00,,0.0130
2022-12-22 17:24:00,,0.00821
2022-12-22 17:30:00,,0.0118
2022-12-22 17:36:00,,0
2022-12-22 17:42:00,,0
2022-12-22 17:48:00,,0
2022-12-22 17:54:00,,0
2022-12-22 18:00:00,,0
2022-12-22 18:06:00,,0
2022-12-22 18:12:00,,0
2022-12-22 18:18:00,,0
2022-12-22 18:24:00,,0
2022-12-22 18:30:00,,0
2022-12-22 18:36:00,,0
2022-12-22 18:42:00,,0
2022-12-22 18:48:00,,0
2022-12-22 18:54:00,,0
2022-12-22 19:00:00,,0
2022-12-22 19:06:00,,0
2022-12-22 19:12:00,,0
2022-12-22 19:18:00,,0
2022-12-22 19:24:00,,0
2022-12-22 19:30:00,,0
2022-12-22 19:36:00,,0
2022-12-22 19:42:00,,0
2022-12-22 19:48:00,,0
2022-12-22 19:54:00,,0
2022-12-22 20:00:00,,0
2022-12-22 20:06:00,,0
2022-12-22 20:12:00,,0
2022-12-22 20:18:00,,0
2022-12-22 20:24:00,,0
2022-12-22 20:30:00,,0
2022-12-22 20:36:00,,0
2022-12-22 20:42:00,,0
2022-12-22 20:48:00,,0
2022-12-22 20:54:00,,0
2022-12-22 21:00:00,,0
2022-12-22 21:06:00,,0
2022-12-22 21:12:00,,0
2022-12-22 21:18:00,,0
2022-12-22 21:24:00,,0
2022-12-22 21:30:00,,0
2022-12-22 21:36:00,,0
2022-12-22 21:42:00,,0
2022-12-22 21:48:00,,0
2022-12-22 21:54:00,,0
2022-12-22 22:00:00,,0
2022-12-22 22:06:00,,0
2022-12-22 22:12:00,,0
2022-12-22 22:18:00,,0
2022-12-22 22:24:00,0,0
2022-12-22 22:30:00,,0
2022-12-22 22:36:00,,0
2022-12-22 22:42:00,,0
2022-12-22 22:48:00,,0
2022-12-22 22:54:00,0,0
2022-12-22 23:00:00,0,0
2022-12-22 23:06:00,0,0
2022-12-22 23:12:00,0,0
2022-12-22 23:18:00,0,0
2022-12-22 23:24:00,0,0
2022-12-22 23:30:00,0,0
2022-12-22 23:36:00,0,0
2022-12-22 23:42:00,0,0
2022-12-22 23:48:00,0,0
2022-12-22 23:54:00,0,0
2022-12-23 00:00:00,0,0
2022-12-23 00:06:00,0,0

